pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
422491,5155.40482448142,CHN,China,Heilongjiang,1.4125613190000001,0.0
422492,17571.9694293183,CHN,China,Nei Mongol,3.7302229860000002,0.0
422493,247.90136452200002,CHN,China,Heilongjiang,2.622370374,0.0
422494,19488.905274768,CHN,China,Nei Mongol,2.267899174,0.0
422495,17486.5221022763,CHN,China,Heilongjiang,1.28453425,0.0
422496,25798.365210742002,CHN,China,Nei Mongol,2.7228307469999997,0.0
422497,20718.476891434242,CHN,China,Heilongjiang,1.053285911,0.0
422498,19743.5505141715,CHN,China,Nei Mongol,3.729829304,0.0
422499,41451.9108536697,CHN,China,Nei Mongol,1.69048325,0.0
422510,1950.1707671947,CHN,China,Heilongjiang,2.679906425,0.0
422520,7735.31537513975,RUS,Russia,Yevrey,0.49187009200000004,0.0
422530,22769.883880071102,CHN,China,Heilongjiang,2.369879863,0.0
422540,8662.957113862969,RUS,Russia,Amur,0.682772732,0.0
422550,1359.6576947937403,RUS,Russia,Amur,1.4654718930000001,0.0
422561,8743.169730480799,RUS,Russia,Amur,0.873133897,0.0
422562,15018.0298895135,RUS,Russia,Khabarovsk,2.183442409,0.0
422563,15565.407736024601,RUS,Russia,Khabarovsk,1.353117796,0.0
422564,3490.47696345,RUS,Russia,Khabarovsk,1.723114276,0.0
422565,1230.2749659900003,RUS,Russia,Khabarovsk,1.928441056,0.0
422566,9996.142295797197,RUS,Russia,Khabarovsk,2.295170148,0.0
422567,8642.42478956,RUS,Russia,Khabarovsk,0.0,0.0
422568,3877.2274938299993,RUS,Russia,Amur,0.374520985,0.0
422569,3735.618905271,RUS,Russia,Khabarovsk,0.49638932700000005,0.0
422570,7843.869870731,CHN,China,Heilongjiang,0.8158125140000001,0.0
422580,15659.9012028864,CHN,China,Heilongjiang,2.7419764339999997,0.0
422590,15556.6742203453,RUS,Russia,Amur,1.553739039,0.0
422610,7694.6480260194485,RUS,Russia,Amur,0.109562787,0.0
422620,15443.68699388081,RUS,Russia,Amur,1.622822142,0.0
422630,12819.767923303001,RUS,Russia,Amur,0.276692552,0.0
422641,7845.85399070239,RUS,Russia,Amur,1.5301453930000002,0.0
422642,11316.744864269998,RUS,Russia,Amur,0.38626712799999996,0.0
422643,4005.42580253,RUS,Russia,Amur,1.515579971,0.0
