,continet,country,year,geotype,res,link,imageurl,imagesize
55,Africa,Western Sahara,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49667,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/ESH/esh_ppp_2020_constrained.tif,5.64
56,Africa,Zambia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49673,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/ZMB/zmb_ppp_2020_constrained.tif,23.77
57,Africa,Zimbabwe,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49664,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/ZWE/zwe_ppp_2020_constrained.tif,22.32
58,Americas,Anguilla,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49871,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/AIA/aia_ppp_2020_constrained.tif,0.06
59,Americas,Antigua and Barbuda,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49740,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/ATG/atg_ppp_2020_constrained.tif,0.15
60,Americas,Argentina,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49742,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/ARG/arg_ppp_2020_constrained.tif,54.7
61,Americas,Aruba,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49842,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/ABW/abw_ppp_2020_constrained.tif,0.05
62,Americas,Bahamas,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49744,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BHS/bhs_ppp_2020_constrained.tif,4.98
63,Americas,Barbados,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49748,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BRB/brb_ppp_2020_constrained.tif,0.1
64,Americas,Belize,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49754,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BLZ/blz_ppp_2020_constrained.tif,1.0
65,Americas,Bermuda,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49750,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BMU/bmu_ppp_2020_constrained.tif,0.04
66,Americas,Bolivia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49752,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BOL/bol_ppp_2020_constrained.tif,14.36
67,Americas,"Bonaire, Sint Eustat",2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49844,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BES/bes_ppp_2020_constrained.tif,3.56
68,Americas,Brazil,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49732,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BRA/bra_ppp_2020_constrained.tif,124.89
69,Americas,British Virgin Islan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49756,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/VGB/vgb_ppp_2020_constrained.tif,0.08
70,Americas,Canada,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49733,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CAN/can_ppp_2020_constrained.tif,148.06
71,Americas,Cayman Islands,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49762,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CYM/cym_ppp_2020_constrained.tif,0.2
72,Americas,Chile,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49734,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CHL/chl_ppp_2020_constrained.tif,81.81
73,Americas,Colombia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49765,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/COL/col_ppp_2020_constrained.tif,26.51
74,Americas,Costa Rica,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49768,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CRI/cri_ppp_2020_constrained.tif,3.99
75,Americas,Cuba,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49770,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CUB/cub_ppp_2020_constrained.tif,4.69
76,Americas,Cura̤ao,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49841,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CUW/cuw_ppp_2020_constrained.tif,0.11
77,Americas,Dominica,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49774,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/DMA/dma_ppp_2020_constrained.tif,0.03
78,Americas,Dominican Republic,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49775,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/DOM/dom_ppp_2020_constrained.tif,2.21
79,Americas,Ecuador,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49776,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/ECU/ecu_ppp_2020_constrained.tif,10.13
80,Americas,El Salvador,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49777,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/SLV/slv_ppp_2020_constrained.tif,0.98
81,Americas,Falkland Islands (Ma,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49780,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/FLK/flk_ppp_2020_constrained.tif,1.01
82,Americas,French Guiana,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49785,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GUF/guf_ppp_2020_constrained.tif,1.7
83,Americas,Greenland,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49729,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GRL/grl_ppp_2020_constrained.tif,55.08
84,Americas,Grenada,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49793,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GRD/grd_ppp_2020_constrained.tif,0.06
85,Americas,Guadeloupe,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49794,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GLP/glp_ppp_2020_constrained.tif,0.27
